Price,Original Price,Rating,Reviews,Skin Type,Country of Origin,Benefits,Discount (%)
266,295.0,4.3,459.0,12,0,14,9.83
341,599.0,4.3,739.0,2,0,12,43.07
249,349.0,4.2,325.0,2,0,4,20.035
205,270.0,4.2,11577.0,12,0,14,24.07
340,425.0,4.1,1684.0,12,0,14,20.0
228,325.0,4.4,202.0,12,0,14,29.85
138,175.0,4.3,8832.0,12,0,14,21.14
1450,349.0,4.4,1126.0,2,3,14,20.035
217,275.0,4.2,310.0,12,0,14,21.09
179,275.0,4.2,6290.0,12,0,14,34.91
191,225.0,4.6,131.0,2,0,14,15.11
573,699.0,4.3,77.0,2,0,6,18.03
439,499.0,4.0,920.0,12,0,14,12.02
360,480.0,4.3,2654.0,2,0,14,25.0
299,399.0,4.2,403.0,2,0,14,25.06
181,229.0,4.2,851.0,12,0,14,20.96
149,199.0,4.2,3603.0,12,0,14,25.13
199,300.0,4.1,220.0,12,0,14,33.67
316,395.0,4.2,94.0,12,0,14,20.0
500,695.0,4.2,846.0,2,0,14,28.06
352,475.0,4.2,1383.0,12,0,14,25.89
327,399.0,4.6,81.0,12,0,14,18.05
230,329.0,4.3,887.0,12,0,14,30.09
356,395.0,3.8,81.0,2,0,14,9.87
396,550.0,4.4,917.0,12,0,14,28.0
429,499.0,4.1,151.0,2,0,14,14.03
205,260.0,4.1,325.0,2,0,14,21.15
185,250.0,4.2,5887.0,12,0,14,26.0
426,495.0,4.3,748.0,11,0,14,13.94
281,299.0,4.4,4274.0,12,0,14,6.02
426,495.0,4.5,436.0,4,0,14,13.94
409,470.0,4.3,1176.0,12,0,14,12.98
515,599.0,3.9,223.0,2,0,14,14.02
141,199.0,4.3,4202.0,12,0,14,29.15
307,349.0,4.1,155.0,12,0,14,12.03
339,399.0,4.2,233.0,2,0,14,15.04
339,399.0,4.3,334.0,10,0,14,15.04
110,349.0,4.3,1032.0,2,0,12,20.035
169,225.0,4.2,690.0,2,0,14,24.89
169,220.0,4.7,25.0,2,0,0,23.18
292,449.0,4.1,2222.0,12,0,14,34.97
175,199.0,4.4,914.0,12,0,14,12.06
347,399.0,4.5,47.0,12,0,14,13.03
487,780.0,4.3,870.0,12,0,5,37.56
128,135.0,4.2,383.0,12,0,14,5.19
247,329.0,4.1,125.0,2,1,14,24.92
243,312.0,4.3,690.0,2,0,12,22.12
237,249.0,4.2,93.0,2,0,14,4.82
379,399.0,4.6,22.0,2,0,12,5.01
